noticia,medio,autor,titulo,fecha,lugar,oracion,sustantivos,adjetivos,verbos,personas,organizaciones,lugares,fechas,geopoliticos,eventos,polaridad,subjetividad
452.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","This speculation is based on the information with regard to the arrival, to the refueling of fuel and the immediate departure of the classified jet of the Jr. of Sanjorge from the airport of Tethys.","speculation,information,regard,arrival,refueling,fuel,departure,jet,airport","immediate,classified",base,Sanjorge,Tethys,"","","","",0.0,0.0
487.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",1748 - two jets it reserves have left today the airport you of Abila with fourteen - sixteen passengers between the two.,"jet,today,airport,passenger","","reserve,leave","","","",today,Abila,"",0.0,0.0
487.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","The destination of one of the airplane has been confirmed like Rome, Italy.","destination,airplane","",confirm,"","","","","Rome,Italy","",0.4,1.0
487.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",The destination of the other airplane has still to be confirmed.,"destination,airplane",other,"have,confirm","","","","","","",0.1375,0.6875
412.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","1915 - to the employee Edvard Vann of GAStech ""it has been allowed to go"" after nearly six hours of the interrogation from the police, the government and the civil employees of GAStech.","employee,hour,interrogation,police,government,employee",civil,"allow,go",Edvard Vann,"GAStech,GAStech","",1915,"","",0.1,0.4
412.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",Vann has been interrogated and freed be approximately fifteen minutes ago and is person in charge be in order not to leave the city.,"minute,person,charge,order,city","","interrogate,free,be,be,be,leave",Vann,"","","","","",-0.4,0.6
412.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","Vann was visibly angry approximately the confusion, that it has come apparently from the likeness of its name and from the known members of the protections of Kronos.","confusion,likeness,name,member,protection",angry,"come,know",Vann,Kronos,"","","","",-0.2833333333333333,0.65
412.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","Vann has said ""has been person in charge not to communicate with the pressed one, but I think that I must speed up mine innocence.","person,charge,innocence","","say,be,communicate,press,think,speed",Vann,"","","","","",0.0,0.0
412.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","I do not have nothing to make any with some members of group POK of the terrorist.""","member,group,terrorist","","have,make","",POK,"","","","",0.0,0.0
171.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",1020  - people are leaving from the centers of Kronos - of GAStech approximately 5 minutes ago.,"people,center,minute","",leave,"","Kronos,GAStech","","","","",-0.4,0.6
171.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","It has seemed to be much confusion and data today the great corporative reunion, this producer has doubts that was a fire practice.","confusion,datum,today,reunion,producer,doubt,fire,practice","much,great,corporative","seem,be,have,be","","","",today,"","",0.5,0.475
171.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",Perhaps a real fire or a threat of the bomb could cause the evacuamento.,"fire,threat,bomb,evacuamento",real,cause,"","","","","","",0.2,0.30000000000000004
30.txt,Modern Rubicon,"",ON SCENE BLO,20140121,"",850 21 January 2014 - DAY TWO of the event of GAStech - we are attending the news conference of unit of the police of Abila previewed for the 9:00.,"event,news,conference,unit,police","",preview,"",GAStech,"",850 21 January 2014,Abila,"",0.0,0.0
307.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",1345 - the relationship confirmed of missing of employs of GAStech from the administrative assistant of GAStech in Tethys quarters; GAStech - Kronos still that they do not answer.,"relationship,missing,employ,assistant,quarter",administrative,"confirm,answer","","GAStech,GAStech,Tethys,GAStech - Kronos","","","","",0.1,0.525
307.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",The mystery which and of quantity they are remains lacking.,"mystery,quantity","","be,remain,lack","","","","","","",0.0,0.0
43.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",1732 - great part of the information has re-united from employs of GAStech that have been allowed to go from the point of the investigators of the police to a kidnapping of several employ you of GAStech.,"part,information,employ,point,investigator,police,kidnapping,employ","great,several","re,-,unite,allow,go","","GAStech,GAStech","","","","",0.4,0.375
43.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","However, the civil employees have still not confirmed a kidnapping have happened.","employee,kidnapping",civil,"confirm,happen","","","","","","",-0.2,1.0
43.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",The number of employs lacking is indeterminant currently given the confusion to you more begins them with the false fire fire signaler.,"number,employ,confusion,fire,fire,signaler","indeterminant,false","lack,give,begin","","","","","","",0.033333333333333305,0.5
43.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",There is a sure indication that the protections of Kronos - a recent group of the activist in charge of many demonstrations and commotions in and around to Abila - are thought suspicion of being responsible of the kidnapping.,"indication,protection,group,activist,charge,demonstration,commotion,suspicion,kidnapping","sure,recent,many,responsible","think,be","",Kronos,"","",Abila,"",0.3,0.5472222222222223
43.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","If to align, this is a escalation alarming of the violence for the group of the activist.","escalation,violence,group,activist",alarming,align,"","","","","","",-0.1,0.6
176.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","1100 - still no indication from the AFD  if some thing is happened; however, there are relationships that the GAStech - it employs you of Kronos re-united outside of the construction have felt the fire fire signaler.","indication,thing,relationship,construction,fire,fire,signaler","","happen,employ,re,-,unite,feel","","AFD,GAStech,Kronos","","","","",0.0,0.05
262.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","1947 - from the news conference of the police of Abila: ""There are approximately fourteen individuals missing between the staff of GAStech.","news,conference,police,individual,staff","",miss,"",GAStech,"",1947,Abila,"",-0.30000000000000004,0.325
262.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","Still it has not been determined if all these individuals in effects are lacking.""","individual,effect","","determine,lack","","","","","","",0.0,0.0
262.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","Although she is confirmed that more than a dozen the individuals were missing, the police of Abila has said that one does not mean that they are gone necessarily.","dozen,individual,police","more,missing","confirm,say,mean,go","","","","",Abila,"",0.17125,0.6475
262.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",Neither means that it has been kidnapped.,"","","mean,kidnap","","","","","","",0.0,0.0
262.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",To this point the case is under investigation and the more information will be freed as facts are learned.,"point,case,investigation,information,fact",more,"free,learn","","","","","","",0.5,0.5
262.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",The police of Abila has sped up that anyone that sees all the unusual activity would have immediately to signal it.,"police,activity",unusual,"speed,see,have,signal","","","","",Abila,"",0.2,1.0
831.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",1035 - the fire unit of Abila has arrived on the scene approximately 10 minutes ago and has begun to try the construction.,"fire,unit,scene,minute,construction","","arrive,begin,try","","","","",Abila,"",-0.4,0.6
831.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","Note there is no visible smoke, provoking restlessness of a real threat of the bomb.","smoke,provoking,restlessness,threat,bomb","visible,real",note,"","","","","","",0.2,0.30000000000000004
355.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","1220 - the police of Abila has arrived to the centers of GAStech, having provoked restlessness and adding to the confusion over that what is happened.","police,center,restlessness,confusion","","arrive,provoke,happen","","","","",Abila,"",0.0,0.0
417.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",1721 - it employs of GAStech have continued to drip outside over the two slid hours.,hour,"","employ,continue,drip,slide","",GAStech,"","","","",0.0,0.05
417.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",Some have agreed in order to communicate with the members of the pressed one that it indicates that they have been people in charge not to say null.,"order,member,people,charge",null,"agree,communicate,press,indicate,be,say","","","","","","",0.0,0.0
417.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",Moreover they have refused of being calls to you.,call,"","refuse,be","","","","","","",0.0,0.0
417.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","Generally, it employs you to it of GAStech have said that all she was interviewing approximately the events of the day, the reunion and the recent IPO.","event,day,reunion,ipo",recent,"employ,say,interview","",GAStech,"",the day,"","",-0.11666666666666665,0.45
417.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","Beyond that he employs you to it of GAStech, the suppliers for the reunion of the first breakfast, that they have been dressed all in the black one, have been freed.","supplier,reunion,breakfast","first,black","employ,dress,free","",GAStech,"","","","",0.04166666666666667,0.3833333333333333
365.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",1158 - the fire unit of Abila has done a complete search of the building of GAStech that finds the fire test.,"fire,unit,search,building,fire,test",complete,"do,find","",GAStech,"",1158,Abila,"",0.1,0.4
365.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",To the 11:45 they have given all the free one so that the construction employs of GAStech re-enter.,"construction,re,-,enter",free,"give,employ","",GAStech,"","","","",0.4,0.8
365.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",A AFD megaphone has declared that the fire signaler seems to be a false alarm and that it was not a part of a previewed antifire practice.,"megaphone,fire,signaler,alarm,part,practice","false,antifire","declare,seem,be,be,preview","",AFD,"","","","",-0.4000000000000001,0.6
365.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",The megaphone has refused to the answer if or the fire signaler has not been pulled intentionally.,"megaphone,answer,fire,signaler","","refuse,pull","","","","","","",0.0,0.0
642.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",1330 - to 1315 we have arranged one called to the centers of GAStech.,center,"","arrange,call","",GAStech,"","","","",0.0,0.0
642.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","A titubante administrative assistant to the Orhan Strum, official of main operation of GAStech has exact the Mr. Strum was not available.","assistant,official,operation","titubante,administrative,main,available",exact,"the Orhan Strum,Strum",GAStech,"","","","",0.0722222222222222,0.3277777777777778
642.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","Linda Lagos that the assistant to the Mr. Strum has refused to answer to new question approximately the event, if or not there were a fire, a false alarm, a threat of the bomb, or if or anyone does not lack.","assistant,question,event,fire,alarm,threat,bomb","new,false","refuse,answer,be,lack","Linda Lagos,Strum","","","","","",-0.22121212121212128,0.5515151515151514
642.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","Uneasy during the call, Ms. Lagos has repeated that the Orhan Strum was not available currently, as an example good bye and hung in on.","call,example","uneasy,available","repeat,hang",Lagos,"","","","","",0.16666666666666666,0.46666666666666673
642.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",The additional calls have been decided without the answer on the extremity of GAStech of the line.,"call,answer,extremity,line",additional,decide,"",GAStech,"","","","",0.0,0.0
159.txt,Modern Rubicon,"",ON SCENE BLO,20140121,"","1013 - the CEO Sten Sanjorge, Jr. it is not missing.",ceo,"",miss,"Sten Sanjorge, Jr.","","","","","",0.1,0.05
159.txt,Modern Rubicon,"",ON SCENE BLO,20140121,"",He is in the centers of Tethys of the GAStech in the center understood them.,"center,center","",understand,"","Tethys,GAStech","","","","",-0.1,0.1
159.txt,Modern Rubicon,"",ON SCENE BLO,20140121,"",The names of the missing have still not been shared.,name,"","miss,share","","","","","","",-0.2,0.05
783.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",1920 - the police of Abila will hold a news conference that begins soon.,"police,news,conference","","hold,begin","","","",1920,Abila,"",0.0,0.0
783.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",We find ourselves on the yard in order to cover it to it for.,"yard,order","","find,cover","","","","","","",0.0,0.0
772.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",1520 - a relationship from the airport of Abila indicates that a classified airplane has left with eight people around to 2:30 PM.,"relationship,airport,airplane,people",classified,"indicate,leave","","","","",Abila,"",0.0,0.0
772.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","The jet instituted second as reported it has been directed towards Rome, Italy.",jet,"","institute,report,direct","","","","","Rome,Italy","",0.0,0.0
772.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",This relationship seems to confirm the voices more begins them that the members of the direction of GAStech have avoided the reporter simply and the government reception.,"relationship,voice,member,direction,reporter,government,reception","","seem,confirm,begin,avoid","",GAStech,"","","","",0.25,0.4285714285714286
772.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",It employs to you of GAStech have begun to remove the construction.,construction,"","employ,begin,remove","",GAStech,"","","","",0.0,0.0
772.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",Eventually they will make the light on new events.,"light,event",new,make,"","","","","","",0.2681818181818182,0.5772727272727273
362.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","1810 - as marked to the 15:20 slowly classified separated airport of Abila limits for Rome with eight people to edge; however, not there is connection with GAStech or the related ones to employs.","airport,limit,people,connection,one","","mark,classify,separate,edge,relate,employs","",GAStech,"",1810,"Abila,Rome","",-0.06666666666666668,0.4666666666666666
362.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",The passengers have composed a delegation from the alien corporation that considers the investment in Kronos.,"passenger,delegation,corporation,investment",alien,"compose,consider","",Kronos,"","","","",-0.25,0.75
362.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",The questions remain approximately the first airplane to leave with one pointed out hidden destination under.,"question,airplane,destination",first,"remain,leave,point,hide","","","","","","",-0.10555555555555556,0.4222222222222222
362.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","That it always smooths has transported seven - eight passengers described like ""type of transactions"".","passenger,type,transaction","","smooth,transport,describe","","","","","","",0.0,0.0
106.txt,Modern Rubicon,"",ON SCENE BLO,20140121,"",1245 - I REDEEM DEMANDS FROM POK - the protections of Kronos has freed a supporting responsibility of declaration of the kidnapping of employs you of GAStech that they demand I redeem $20 million.,"protection,supporting,responsibility,declaration,kidnapping","","redeem,demand,free,employ,demand,redeem","","Kronos,GAStech","","","","",0.25,0.25
21.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",1506 - the police has begun to leave the centers of GAStech.,"police,center","","begin,leave","",GAStech,"","","","",0.0,0.0
21.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",The officials have refused to answer to the questions of all the reporter that they leave the scene.,"official,question,reporter,scene","","refuse,answer,leave","","","","","","",0.0,0.0
21.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",Some vehicles of the police are remained behind.,"vehicle,police","",remain,"","","","","","",-0.4,0.7
21.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",Presumablly the remaining officials are interviewing employs of GAStech who still remain inside of the construction of the company.,"remaining,official,employ,construction,company","","interview,remain","",GAStech,"","","","",0.0,0.0
21.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",The cord of the police still remains around to the building of GAStech.,"cord,police,building","",remain,"",GAStech,"","","","",0.0,0.0
384.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","2021 - a civil employee of government of Kronos that has asked not to be identified but was present to the government reception has gone on declaring record, ""the investigators are working around to the clock in order assessing that she employs it to you robs to you of GAStech are finds to you and that the perpetrators they are capacities to justice.""","employee,government,government,reception,record,investigator,clock,order,find,perpetrator,capacity,justice","civil,present","ask,identify,be,go,declare,work,assess,employ,rob,be,be","","Kronos,GAStech","",2021,"","",0.0,0.0
384.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",That is the first confirmation that present events that encircle GAStech - Kronos is in effects a kidnapping.,"confirmation,event,effect,kidnapping","first,present","encircle,be","",GAStech - Kronos,"","","","",0.125,0.16666666666666666
384.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","With fourteen still missing individuals, to this point, the presupposed one is that all are the victims of a kidnapping.","individual,point,victim,kidnapping","","miss,presuppose","","","","","","",-0.2,0.05
384.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",No group has come in ahead still demanding the responsibility neither to have all the demands made.,"group,responsibility,demand","","come,demand,have,make","","","","","","",0.0,0.0
8.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",1532.,"","","","","","","","","",0.0,0.0
8.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"",An employee of Kronos - of GAStech that leaves the construction of the centers who refused in order to supply a name has said that a brace of unknown people was in the posterior part of the conference room in which the reunion of GAStech this morning has happened.,"employee,construction,center,order,name,brace,people,part,conference,room,reunion,morning","unknown,posterior","leave,refuse,supply,say,happen","","Kronos -,GAStech,GAStech","","","","",-0.1,0.6
8.txt,Modern Rubicon,"",ON SCENE BLO,20140120,"","Unknown people that lurking around to the reunion room ""she was not employ you of GAStech"" and ""it has been dressed in the black clothing, watching in the previous ones.""","people,reunion,room,clothing,one","unknown,black,previous","employ,dress","",GAStech,"","","","",-0.14444444444444446,0.39999999999999997
727.txt,Modern Rubicon,"",ON SCENE BLO,20140121,"",934 - the police of Abila has indicated that the application of law and the civil employees of government from Tethys are working with.,"police,application,law,employee,government",civil,"indicate,work","",Tethys,"","",Abila,"",0.0,0.0
727.txt,Modern Rubicon,"",ON SCENE BLO,20140121,"",The number of the missing has been modified fourteen to ten.,number,"","miss,modify","","","","","","",-0.1,0.025
727.txt,Modern Rubicon,"",ON SCENE BLO,20140121,"",The names of the missing - and presumably robbed - have still to be freed.,name,missing,"rob,have,free","","","","","","",-0.2,0.05
727.txt,Modern Rubicon,"",ON SCENE BLO,20140121,"","It watches declared that given the nature of evolution of the event to announce the names of it employs lacking would add to you simply to the confusion, the speculation and potentially it hinders the continuous search.","nature,evolution,event,name,confusion,speculation,search",continuous,"declare,give,announce,employ,add,hinder","","","","","","",0.0,0.6785714285714286
727.txt,Modern Rubicon,"",ON SCENE BLO,20140121,"",News,"","","","","","","","","",0.0,0.0
727.txt,Modern Rubicon,"",ON SCENE BLO,20140121,"",an international conference of GAStech is announced for the 10:00 this time of Kronos of morning.,"conference,time,morning",international,announce,"",GAStech,"","","","",0.0,0.0
287.txt,International Times,"",Interpol has announced the formation of a new multi-country task forc,20131021,"",TITLE: Interpol has announced the formation of a new multi-country task force,"title,formation,task,force","new,multi,-,country",announce,"",Interpol,"","","","",0.13636363636363635,0.45454545454545453
287.txt,International Times,"",Interpol has announced the formation of a new multi-country task forc,20131021,"","Interpol has announced the formation of a new multi-country task force to combat the increasingly wide distribution of the drug methyldimethyl cathinone (MDMC).  Heading the task force is Senior Inspector Robert Loblaw, a veteran officer who led the very successful Tethys Counterdrug Team.","formation,task,force,distribution,drug,methyldimethyl,cathinone,task,force,veteran,officer","new,multi,-,country,wide,successful","announce,combat,head,lead",Robert Loblaw,"Interpol,Tethys Counterdrug Team","","","","",0.2528409090909091,0.4636363636363636
287.txt,International Times,"",Interpol has announced the formation of a new multi-country task forc,20131021,"",He is optimistic that he can identify the source.,source,optimistic,identify,"","","","","","",0.0,0.0
287.txt,International Times,"",Interpol has announced the formation of a new multi-country task forc,20131021,"","""These designer drugs have certain clues as to their origin,"" Loblaw told the Times in an interview.","designer,drug,clue,origin,interview",certain,"have,tell",Loblaw,Times,"","","","",0.21428571428571427,0.5714285714285714
287.txt,International Times,"",Interpol has announced the formation of a new multi-country task forc,20131021,"","""Every time the recipe is changed, it leaves clues as to who made it.","time,recipe,clue","","change,leave,make","","","","","","",0.0,0.0
287.txt,International Times,"",Interpol has announced the formation of a new multi-country task forc,20131021,"","It's like a pedigree.""

This particular blend of the drug MDMC, also known by its street names ""cotton candy"", ""spice dreams"" and ""Tulip Blossom"", was found previously only in Asteria but has made its way to the streets of Tethys and other international countries.","pedigree,blend,drug,street,name,cotton,candy,spice,dream,way,street,country","particular,other,international","know,find,make","","",Asteria,"",Tethys,"",0.010416666666666664,0.4270833333333333
287.txt,International Times,"",Interpol has announced the formation of a new multi-country task forc,20131021,"","""I'll be looking hard at the activities of the Asterian People's Army,"" Loblaw said.",activity,"",say,Loblaw,"the Asterian People's Army","","","","",-0.2916666666666667,0.5416666666666666
287.txt,International Times,"",Interpol has announced the formation of a new multi-country task forc,20131021,"","""Our previous investigations pointed to them as the source of this particular formulation.""

The Asterian People's Army (APA) is a paramilitary organization which has been engaged in terrorist activities funded through its criminal enterprises, which include drug trafficking.","investigation,source,formulation,organization,activity,enterprise,drug,trafficking","previous,particular,paramilitary,terrorist,criminal","point,engage,fund,include","","The Asterian People's Army,APA","","","","",-0.13333333333333333,0.35000000000000003
287.txt,International Times,"",Interpol has announced the formation of a new multi-country task forc,20131021,"","In recent years the APA has sought to build their brand through websites and the publication of a professional, high-quality magazine called ""Arise"".

Senior Inspector Loblaw says the Tethys public statistics indicate MDMC is a growing problem with the country's youth.  ""An increase in mental health problems, including hallucinations and paranoia, accompanied by violent behavior and a marked increase in suicide rates are only a few of the indicators of the usage of this designer drug.""

""As a first step we have alerted port officials to be on the lookout for suspicious shipments of insecticides and detergent, both similar in appearance to MDMC.""","year,brand,website,publication,quality,magazine,statistic,growing,problem,country,youth,increase,health,problem,including,hallucination,paranoia,behavior,increase,suicide,rate,indicator,usage,designer,drug,step,port,official,lookout,shipment,insecticide,detergent,appearance","recent,professional,high,public,mental,violent,marked,few,first,suspicious,similar","seek,build,call,say,indicate,accompany,be,alert,be",Loblaw,"APA,Tethys,MDMC,MDMC","",recent years,"","",-0.06500000000000002,0.4050000000000001
550.txt,International Times,"",Four people have died in a fiery road crash near Elodis,20070318,"","A nine-year old boy initially survived the crash and had been flown to Abila Children's Hospital, but was declared dead on arrival.","year,boy,crash,arrival","old,dead","survive,fly,declare","","Abila Children's Hospital","",nine-year old,"","",-0.03333333333333333,0.20000000000000004
550.txt,International Times,"",Four people have died in a fiery road crash near Elodis,20070318,"",Police say they have a 25 year old truck driver in custody at the Elodis jail.,"police,year,truck,driver,custody,jail",old,"say,have","","","",25 year old,Elodis,"",0.0,0.1
550.txt,International Times,"",Four people have died in a fiery road crash near Elodis,20070318,"",Officers say a car burst into flames after colliding with a GAStech truck on Calistermi Road just before 9AM (KDT).,"officer,car,flame,truck","","say,burst,collide","","","","","","",0.0,0.0
550.txt,International Times,"",Four people have died in a fiery road crash near Elodis,20070318,"",A Kronos disaster victim identification team was sent to examine the wreckage.,"disaster,victim,identification,team,wreckage","","send,examine","",Kronos,"","","","",-0.07500000000000001,0.05
550.txt,International Times,"",Four people have died in a fiery road crash near Elodis,20070318,"","Assistant Police Commissioner Adian Koppolis described the scene as ""horrific"".

He said the nine-year old boy was found wandering around the accident site.","scene,year,boy,accident,site","horrific,old","describe,say,find,wander",Adian Koppolis,Police,"",nine-year old,"","",-0.45,0.6
550.txt,International Times,"",Four people have died in a fiery road crash near Elodis,20070318,"","""It's tragic that no one ultimately survived.",one,tragic,survive,"","","","","","",-0.375,0.875
550.txt,International Times,"",Four people have died in a fiery road crash near Elodis,20070318,"","The roads out here can be treacherous when you are not constantly vigilant while driving,"" he said.",road,"treacherous,vigilant","be,be,drive,say","","","","","","",0.0,0.3333333333333333
550.txt,International Times,"",Four people have died in a fiery road crash near Elodis,20070318,"",He noted that the truck passed into the intersection when the car had the right of way.,"truck,intersection,car,right,way","","note,pass,have","","","","","","",0.2857142857142857,0.5357142857142857
514.txt,International Times,"","Kronos's Protectors of Kronos declared 'terrorist group",20090222,"","<<Deleted image: POK has held numerous demonstrations in Kronos's capital of Abila>>","image,demonstration,capital",numerous,"delete,hold","","POK,Kronos","","",Abila,"",0.0,0.5
514.txt,International Times,"","Kronos's Protectors of Kronos declared 'terrorist group",20090222,"",Continue reading the main story,story,main,continue,"","","","","","",0.16666666666666666,0.3333333333333333
514.txt,International Times,"","Kronos's Protectors of Kronos declared 'terrorist group",20090222,"",The government of Kronos has declared the Protectors of Kronos a terrorist group after blaming it for a deadly attack on police headquarters earlier this week.,"government,group,attack,police,headquarter,week","terrorist,deadly",declare,"","Kronos,the Protectors of Kronos","",earlier this week,"","",-0.1,0.45
514.txt,International Times,"","Kronos's Protectors of Kronos declared 'terrorist group",20090222,"",Several of its supporters have been arrested in a crackdown.,"supporter,crackdown",several,arrest,"","","","","","",0.0,0.0
514.txt,International Times,"","Kronos's Protectors of Kronos declared 'terrorist group",20090222,"",A POK leader vowed that protests would continue.,"leader,protest","","vow,continue","",POK,"","","","",0.0,0.0
514.txt,International Times,"","Kronos's Protectors of Kronos declared 'terrorist group",20090222,"","Government spokesman Rufus Drymiau announced the move, which will give the authorities more power to crack down on the POK.","government,spokesman,move,authority,power",more,"announce,give,crack",Rufus Drymiau,POK,"","","","",0.17222222222222222,0.3944444444444445
514.txt,International Times,"","Kronos's Protectors of Kronos declared 'terrorist group",20090222,"","He said that those who belonged to the group, financed it or promoted its activities would face punishment.","group,activity,punishment","","say,belong,finance,promote,face","","","","","","",0.0,0.0
514.txt,International Times,"","Kronos's Protectors of Kronos declared 'terrorist group",20090222,"","Continue reading the main story	
The Protectors of Kronos
    Kronos's oldest and largest environmental activist organization
    Founded in 1997.
    Influenced by international groups such as Wellness for All
    Mixes political activism with environmental work","story,activist,organization,group,activism,work","main,old,large,environmental,international,such,political,environmental","continue,found,influence,mix","","The Protectors of Kronos,Kronos,Wellness for All","",1997,"","",0.041666666666666664,0.2333333333333333
514.txt,International Times,"","Kronos's Protectors of Kronos declared 'terrorist group",20090222,"",Rejects use of violence and supports democratic principles,"use,violence,principle",democratic,"reject,support","","","","","","",0.0,0.0
514.txt,International Times,"","Kronos's Protectors of Kronos declared 'terrorist group",20090222,"","Slogan: ""Justice for Juliana"", a reference to a 10-year old Kronosian girl who died as a result of government sponsored environmental contamination","slogan,justice,reference,year,girl,result,government,contamination","old,kronosian,environmental","die,sponsor",Juliana,"","",10-year old,"","",0.1,0.2
514.txt,International Times,"","Kronos's Protectors of Kronos declared 'terrorist group",20090222,"","The decision was in response to Tuesday's bombing of a police headquarters in Abila, he said.","decision,response,bombing,police,headquarters","",say,"","","",Tuesday,Abila,"",0.0,0.0
514.txt,International Times,"","Kronos's Protectors of Kronos declared 'terrorist group",20090222,"","""Kronos was horrified from north to south by the hideous crime committed by the POK,"" Mr. Drymiau said.","north,south,crime",hideous,"horrify,commit,say",Drymiau,POK,"","",Kronos,"",0.0,0.0
514.txt,International Times,"","Kronos's Protectors of Kronos declared 'terrorist group",20090222,"","""This was in context of dangerous escalation to violence against Kronos and Kronosians and a clear declaration by the POK that it knows nothing but violence.","context,escalation,violence,declaration,violence","dangerous,clear",know,"","Kronos,POK","","","","",-0.24999999999999997,0.6416666666666666
514.txt,International Times,"","Kronos's Protectors of Kronos declared 'terrorist group",20090222,"","""It's not possible for Kronos the state nor Kronos the people to submit to the POK terrorism.""","state,people,terrorism",possible,submit,"","Kronos,Kronos,POK","","","","",0.0,1.0
514.txt,International Times,"","Kronos's Protectors of Kronos declared 'terrorist group",20090222,"","Kronos would notify Tethys who had signed a 1998 anti-terrorism treaty of the decision, he added.","treaty,decision","anti,-,terrorism","notify,sign,add",Tethys,Kronos,"",1998,"","",0.0,0.0
514.txt,International Times,"","Kronos's Protectors of Kronos declared 'terrorist group",20090222,"","POK supporters

The POK has denied being responsible for the attack, and accused the Kronos government of staging a frame-up to silence the groups concerns for the people.","supporter,attack,government,frame,up,group,concern,people",responsible,"deny,be,accuse,stage,silence","","POK,POK,Kronos","","","","",0.2,0.55
514.txt,International Times,"","Kronos's Protectors of Kronos declared 'terrorist group",20090222,"","A POK member told the Times that the government's decision was ""illegitimate"".","member,government,decision",illegitimate,tell,"","POK,Times","","","","",0.0,0.0
514.txt,International Times,"","Kronos's Protectors of Kronos declared 'terrorist group",20090222,"","He added: ""The protests will continue, certainly.""",protest,"","add,continue","","","","","","",0.21428571428571427,0.5714285714285714
506.txt,International Times,"",Kronos protests break out in violence,20131112,"","Journalist Shawn Pastorini says ""lack of respect"" is fuelling the protests","journalist,lack,respect,protest","","say,fuel",Shawn Pastorini,"","","","","",0.0,0.0
506.txt,International Times,"",Kronos protests break out in violence,20131112,"","<< Continue reading the main story >>	
Demonstrators in Abilia, Kronos have set fire to government buildings, in another round of unrest in this torn city","story,demonstrator,fire,government,building,round,unrest,city",main,"continue,set,tear","","","","","Abilia,Kronos","",-0.016666666666666677,0.3666666666666667
