noticia,medio,autor,titulo,fecha,lugar,oracion,sustantivos,adjetivos,verbos,personas,organizaciones,lugares,fechas,geopoliticos,eventos,polaridad,subjetividad,cant_personas
668.txt,The Truth,,The minister of health dies suddenl,20010615,"ABILA, Kronos","Vincent Kapelou, 28, have Bachelor of science in chemistry and master of science in biochemistry of central university Tethys.","science,chemistry,master,science,biochemistry,university",central,have,Vincent Kapelou,Tethys,,28,,,0.0,0.25,1
363.txt,The Guide,,The minister of the health dies suddenl,20010616,"ABILA, Kronos","ABILA, Kronos - it is with great pain that we announced the death of the minister of the health Cesare Nespola.","pain,death,minister,health",great,announce,Cesare Nespola,,,,"ABILA,Kronos",,0.8,0.75,1
363.txt,The Guide,,The minister of the health dies suddenl,20010616,"ABILA, Kronos","Shortly after to hear speak of the death of Nespola, president Kapelou announced that his nephew Vincent Kapelou would serve as new minister of his administration of the health.","speak,death,nephew,minister,administration,health",new,"hear,announce,serve","Nespola,Kapelou,Vincent Kapelou",,,,,,0.06818181818181818,0.3772727272727273,3
363.txt,The Guide,,The minister of the health dies suddenl,20010616,"ABILA, Kronos","Vincent Kapelou, 28, has bachelors of science in chemistry and a master of science in biochemistry.","bachelor,science,chemistry,master,science,biochemistry",,have,Vincent Kapelou,,,28,,,0.0,0.0,1
273.txt,Kronos Star,Marcella Trapan,Activists Disrupt Traffic Near Tiskele Bend Field,20010830,"ABILA, Krono","The protestors, members of the activist group ""Protectors of Kronos"", held signs reading: ""Drilling Poisoned Our Water"" and ""Remember Juliana"", referring to 10 year old Juliana Vann, who has become an icon for the Protectors of Kronos since her death in 1998.","protestor,member,activist,group,sign,year,icon,death",old,"hold,read,drill,poison,remember,become","Juliana,Juliana Vann","Protectors of Kronos,the Protectors of Kronos",,"10 year old,1998",,,0.1,0.2,2
129.txt,International News,,Activists Disrupt Traffic Near Tiskele Bend Fields,20010831,"ABILA, Kronos","The protestors, members of the activist group ""Protectors of Kronos"", held signs reading: ""Drilling Poisoned Our Water"" and ""Remember Juliana"", referring to 10 year old Juliana Vann, who has become an icon for the Protectors of Kronos since her death in 1998.","protestor,member,activist,group,sign,year,icon,death",old,"hold,read,drill,poison,remember,become","Juliana,Juliana Vann","Protectors of Kronos,the Protectors of Kronos",,"10 year old,1998",,,0.1,0.2,2
544.txt,News Online Today,,Activists Disrupt Traffic Near Tiskele Bend Fields,20010831,"ABILA, Kronos","The protestors, members of the activist group ""Protectors of Kronos"", held signs reading: ""Drilling Poisoned Our Water"" and ""Remember Juliana"", referring to 10 year old Juliana Vann, who has become an icon for the Protectors of Kronos since her death in 1998.","protestor,member,activist,group,sign,water,year,icon,death",old,"hold,read,drill,poison,remember,become","Juliana,Juliana Vann","Protectors of Kronos,the Protectors of Kronos",,"10 year old,1998",,,0.1,0.2,2
593.txt,Worldwise,,The activists disturb the traffic close to the fields of curve of Tiskel,20010901,"ABILA, Kronos","The protesters, members of the activist group ""guards of Kronos"", held reading of signs: ""Drilling poisoned our water"" and ""to remember Juliana"", referring to 10 years Juliana Vann, which became an icon for the guards of Kronos since his death in 1998.","protester,member,activist,group,guard,sign,drilling,water,year,icon,guard,death",,"hold,poison,remember,become","Juliana,Juliana Vann","Kronos,Kronos",,"10 years,1998",,,0.0,0.0,2
371.txt,News Online Today,,HANK FLUSS GASTECH COO DIES AT 73,20030517,"CENTRUM, Tethys","Hank Fluss, COO of GAStech International, died of a heart attack at his desk in the company's downtown Centrum headquarters.","heart,attack,desk,company,downtown,headquarters",,die,Hank Fluss,GAStech International,,,,,0.0,0.0,1
587.txt,The World,,HANK FLUSS GASTECH COO DIES AT 7,20030517,"CENTRUM, Tethys","Hank Fluss is survived by his wife of 54 years, Beatriz Fluss, his 5 children, and 12 grandchildren.","wife,year,child,grandchild",,survive,"Hank Fluss,Beatriz Fluss",,,54 years,,,0.0,0.0,2
587.txt,The World,,HANK FLUSS GASTECH COO DIES AT 7,20030517,"CENTRUM, Tethys","Hank Fluss spent 40 years with GAStech, befriending Sten Sanjorge, Sr. in 1963 when the two started out on their own.",year,own,"spend,befriend,start","Hank Fluss,Sten Sanjorge, Sr",GAStech,,"40 years,1963",,,0.25,0.55,3
587.txt,The World,,HANK FLUSS GASTECH COO DIES AT 7,20030517,"CENTRUM, Tethys","Hank Fluss, COO of GAStech International, died of a heart attack at his desk in the company's downtown Centrum headquarters.","heart,attack,desk,company,downtown,headquarters",,die,Hank Fluss,GAStech International,,,Centrum,,0.0,0.0,1
371.txt,News Online Today,,HANK FLUSS GASTECH COO DIES AT 73,20030517,"CENTRUM, Tethys","Hank Fluss is survived by his wife of 54 years, Beatriz Fluss, his 5 children, and 12 grandchildren.","wife,year,child,grandchild",,survive,"Hank Fluss,Beatriz Fluss",,,54 years,,,0.0,0.0,2
59.txt,Who What News,,HANK FLUSS GASTECH COO DIES AT 73,20030518,"CENTRUM, Tethys","Hank Fluss spent 40 years with GAStech, befriending Sten Sanjorge, Sr.",year,,"spend,befriend","Hank Fluss,Sten Sanjorge, Sr",GAStech,,40 years,,,-0.1,0.1,3
59.txt,Who What News,,HANK FLUSS GASTECH COO DIES AT 73,20030518,"CENTRUM, Tethys","Hank Fluss, COO of GAStech International, died of a heart attack at his desk in the company's downtown Centrum headquarters.","heart,attack,desk,company,downtown,headquarters",,die,Hank Fluss,GAStech International,,,,,0.0,0.0,1
59.txt,Who What News,,HANK FLUSS GASTECH COO DIES AT 73,20030518,"CENTRUM, Tethys","Hank Fluss is survived by his wife of 54 years, Beatriz Fluss, his 5 children, and 12 grandchildren.","wife,year,child,grandchild",,survive,"Hank Fluss,Beatriz Fluss",,,54 years,,,0.0,0.0,2
493.txt,The General Post,,THE COO OF GAStech DIES IN 7,20030519,"CENTRUM, Tethys","Always a champion of environmental causes, Sanjorge had disillusioned more and more with the operation of GAStech - of Kronos that filtered its relation with the CEO Hank Fluss, Jr.","champion,cause,operation,relation",environmental,"disillusion,filter","Sanjorge,Hank Fluss, Jr.","GAStech,Kronos",,,,,0.5,0.5,3
686.txt,The Tulip,,COO GASTECH OF THE HANK FLUSS DIES at 7,20030519,"CENTRUM, Tethys","Hank Fluss, international COO of GAStech, died to a heart attack at its office in the headquarters of the inner city of the center of the company.","heart,attack,office,headquarters,city,center,company","international,inner",die,Hank Fluss,GAStech,,,,,-0.03333333333333333,0.08888888888888889,1
164.txt,The Light of Truth,,"HANK FLUSS, FOUNDER OF GASTECH, DIES IN 7",20030519,"CENTRUM, Tethys","Hank Fluss is survived by his 54 year old wife, Beatriz Fluss, 5 children, and 12 children.","year,wife,child,child",old,survive,"Hank Fluss,Beatriz Fluss",,,54 year old,,,0.1,0.2,2
686.txt,The Tulip,,COO GASTECH OF THE HANK FLUSS DIES at 7,20030519,"CENTRUM, Tethys","Hank Fluss brought 40 years which with befriending GAStech co-founder Sten Sanjorge, SR in 1963.","year,co,-,founder",,"bring,befriend","Hank Fluss,Sten Sanjorge","GAStech,SR",,"40 years,1963",,,0.0,0.0,2
164.txt,The Light of Truth,,"HANK FLUSS, FOUNDER OF GASTECH, DIES IN 7",20030519,"CENTRUM, Tethys","Hank Fluss spent 40 years with GAStech, treating as a friend Sten Sanjorge, Sr. in 1963 when both started out all alone.","year,friend",,"spend,treat,start","Hank Fluss,Sten Sanjorge, Sr",GAStech,,"40 years,1963",,,-0.1,0.1,3
164.txt,The Light of Truth,,"HANK FLUSS, FOUNDER OF GASTECH, DIES IN 7",20030519,"CENTRUM, Tethys","Hank Fluss, co-founder of international GAStech, died of a heart attack at its office in the registered offices of the center of the centrum of the company.","co,-,founder,heart,attack,office,office,center,centrum,company",international,"die,register",Hank Fluss,GAStech,,,,,-0.05,0.05,1
493.txt,The General Post,,THE COO OF GAStech DIES IN 7,20030519,"CENTRUM, Tethys","The Sanjorge spent 40 years with GAStech, befriending Hank Fluss in 1963 in which both began towards outside in his the own ones.","year,outside,one",own,"spend,befriend,begin","Sanjorge,Hank Fluss",GAStech,,"40 years,1963",,,0.16666666666666666,0.3833333333333333,2
686.txt,The Tulip,,COO GASTECH OF THE HANK FLUSS DIES at 7,20030519,"CENTRUM, Tethys","Hank Fluss are survived by its woman of 54 years, Beatriz Fluss,  5 children, and 12 children.","woman,year,child,child",,survive,"Hank Fluss,Beatriz Fluss",,,54 years,,,0.0,0.0,2
168.txt,Kronos Star,Marcella Trapan,POK Protest at GAStech Headquarters Ends in Arrest,20090218,"ABILA, Krono","The last thing we wanted to happen was for a GAStech employee to get hurt by the crowd just because he was trying to go to work.""

The POK, once a small political activist group of citizens from the Elodis area, has been revitalization under the charismatic leadership of Elian Karel.","thing,employee,crowd,work,activist,group,citizen,area,revitalization,leadership","last,small,political,charismatic","want,happen,hurt,go",Elian Karel,"GAStech,POK",,,Elodis,,0.0625,0.39166666666666666,1
165.txt,The Truth,,Protest POK on GAStech Headquarters in arrest,20090219,"ABILA, Kronos","POK, once a small political activist group citizens of the area Elodis, stimulation under the charismatic control of Elian Karel has been.","activist,group,citizen,area,stimulation,control","small,political,charismatic",be,Elian Karel,POK,,,Elodis,,0.08333333333333333,0.5,1
837.txt,The Guide,,The protest of POK in GAStech establishes headquarters of ends in halting,20090219,"ABILA, Kronos","The last thing that we wished to happen was so that an employee of GAStech obtains damage of the right crowd because he tried to go to work.""

The POK, once small political group of the activist of citizens of the area of Elodis, has been revitalización under charismatic direction of Elian Karel.","thing,employee,damage,crowd,work,group,activist,citizen,area,revitalización,direction","last,right,small,political,charismatic","wish,happen,obtain,try,go,be",Elian Karel,"GAStech,POK",,,Elodis,,0.10714285714285714,0.4204761904761905,1
808.txt,Worldwise,,The protest of POK at GAStech sits of the ends in the arrest,20090220,"ABILA, Kronos","The last thing that we wanted to produce to us was so that an employee of GAStech obtains the evil by crowd right because it tried to go to work.""

The POK, once a small political group of activist of the citizens of the area of Elodis, was revitalization under the charismatic control of Elian Karel.","thing,employee,evil,crowd,right,work,group,activist,citizen,area,revitalization,control","last,small,political,charismatic","want,produce,obtain,try,go",Elian Karel,"GAStech,POK",,,Elodis,,-0.07738095238095237,0.5170634920634921,1
675.txt,The Light of Truth,,SANJORGE JR CONDEMNS POK LIKE TERRORIST,20090221,"CENTRUM, Tethys","An official report released by Sten Sanjorge Jr., president and CEO of international GASTech, condemns the guards of Kronos as ""illegitimate"" and organization of ""terrorists"".","report,president,ceo,guard,organization,terrorist","official,international,illegitimate","release,condemn",Sten Sanjorge Jr.,"GASTech,Kronos",,,,,0.0,0.0,1
529.txt,The Tulip,,SANJORGE JR CONDEMN POK AS TERRORIST,20090222,"CENTRUM, Tethys","An official declaration which by Sten Sanjorge Jr., the international President and CEO of GASTech are released, condemn the guards of Kronos as both illegitimate and terrorists organization.","declaration,guard,terrorist,organization","official,international,illegitimate","release,condemn",Sten Sanjorge Jr.,"GASTech,Kronos",,,,,0.0,0.0,1
743.txt,Homeland Illumination,Petrus Gerhar,POK RALLY DRAWS THOUSANDS OF SUPPORTER,20090307,"ABILA, Krono",Ten-year old Juliana Vann died in 1998 from an illness caused by contaminated water from GAStech drilling operations.,"year,illness,water,drilling,operation",old,"die,cause,contaminate",Juliana Vann,GAStech,,"Ten-year old,1998",,,0.1,0.2,1
743.txt,Homeland Illumination,Petrus Gerhar,POK RALLY DRAWS THOUSANDS OF SUPPORTER,20090307,"ABILA, Krono","Karel took over POK leadership from Henk Bodrogi, whose ill health forced him down from the position.","leadership,health,position",ill,"take,force","Karel,Henk Bodrogi",POK,,,,,-0.3185185185185185,0.4962962962962963,2
743.txt,Homeland Illumination,Petrus Gerhar,POK RALLY DRAWS THOUSANDS OF SUPPORTER,20090307,"ABILA, Krono",Protest leader Elian Karel addressed the demonstrators at Abila City park.,"protest,leader,demonstrator,park",,address,Elian Karel,,,,Abila City,,0.0,0.0,1
447.txt,News Online Today,,POK RALLY DRAWS THOUSANDS OF SUPPORTERS,20090308,"ABILA, Kronos","Karel took over POK leadership from Henk Bodrogi, whose ill health forced him down from the position.","leadership,health,position",ill,"take,force","Karel,Henk Bodrogi",POK,,,,,-0.3185185185185185,0.4962962962962963,2
735.txt,The Orb,,THE GATHERING OF POK DRAWS THOUSANDS OF DEFENDER,20090309,"ABILA, Kronos",Elian Karel addressed the demonstrators to the park of town of Abila.,"demonstrator,park,town",,address,Elian Karel,,,,Abila,,0.0,0.0,1
51.txt,Daily Pegasus,,THE POK MEETING DRAWS THOUSANDS OF THOSE IN FAVO,20090309,"ABILA, Kronos",The leader Elian Karel of the protest dealed with the demonstrators in the park the city of Abila.,"leader,protest,demonstrator,park,city",,deal,Elian Karel,,,,Abila,,0.0,0.0,1
217.txt,The Wrap,,THE COLLECTION POK DRAWS THOUSANDS OF PROTESTER,20090309,"ABILA, Kronos",LEADER Elian Karel of the protest aimed the demonstration systems at the park of the city Abila.,"leader,protest,demonstration,system,park,city",,aim,Elian Karel,,,,Abila,,0.0,0.0,1
735.txt,The Orb,,THE GATHERING OF POK DRAWS THOUSANDS OF DEFENDER,20090309,"ABILA, Kronos","Karel ensured the control of POK of Henk Bodrogi, whose bad health forced to the bottom of the position.","control,health,bottom,position",bad,"ensure,force","Karel,Henk Bodrogi",POK,,,,,-0.5,0.43333333333333335,2
735.txt,The Orb,,THE GATHERING OF POK DRAWS THOUSANDS OF DEFENDER,20090309,"ABILA, Kronos",From ten years - old Juliana Vann died into 1998 of a disease caused by the soiled water of the operations of drilling of GAStech.,"year,disease,water,operation","old,soiled","die,cause",Juliana Vann,GAStech,,"ten years - old,1998",,,0.05,0.1,1
217.txt,The Wrap,,THE COLLECTION POK DRAWS THOUSANDS OF PROTESTER,20090309,"ABILA, Kronos","Of ten years - old Juliana Vann died in 1998, to a sickness which is caused by polluted water of boring GAStech transactions.","year,sickness,water,boring,transaction","old,polluted","die,cause",Juliana Vann,GAStech,,"ten years - old,1998",,,-0.3,0.4,1
294.txt,Homeland Illumination,Petrus Gerhar,POK LEADER KAREL ARRESTE,20090312,"ABILA, Krono","In another unconscionable move against the citizens of Kronos, earlier today police arrested POK leader Elian Karel on spurious tax evasion charges.","move,citizen,today,police,leader,tax,evasion,charge","unconscionable,spurious",arrest,Elian Karel,POK,,,Kronos,,0.0,0.5,1
820.txt,Kronos Star,Marcella Trapan,Activist Leader Karel Arrested for Tax Evasio,20090312,"ABILA, Krono",Kronos police arrested Elian Karel today on charges of tax evasion.,"police,today,charge,tax,evasion",,arrest,Elian Karel,,,today,Kronos,,0.0,0.0,1
820.txt,Kronos Star,Marcella Trapan,Activist Leader Karel Arrested for Tax Evasio,20090312,"ABILA, Krono","It is clear that Elian Karel, who professes to have the interests of the people of Kronos at heart, must explain to us why he refuses to contribute to the welfare of his nation.","interest,people,heart,welfare,nation",clear,"profess,have,explain,refuse,contribute",Elian Karel,Kronos,,,,,0.10000000000000002,0.3833333333333333,1
683.txt,All News Today,,POK LEADER KAREL ARRESTED,20090312,"ABILA, Kronos","In another unconscionable move against the citizens of Kronos, earlier today police arrested POK leader Elian Karel on spurious tax evasion charges.","move,citizen,today,police,leader,tax,evasion,charge","unconscionable,spurious",arrest,Elian Karel,POK,,,Kronos,,0.0,0.5,1
437.txt,Homeland Illumination,Petrus Gerhar,POK LEADER KAREL ARRESTE,20090312,"ABILA, Krono","In another unconscionable move against the citizens of Kronos, earlier today police arrested POK leader Elian Karel on spurious tax evasion charges.","move,citizen,today,police,leader,tax,evasion,charge","unconscionable,spurious",arrest,Elian Karel,POK,,,Kronos,,0.0,0.5,1
451.txt,News Online Today,,Activist Leader Karel Arrested for Tax Evasion,20090312,"ABILA, Kronos",Kronos police arrested Elian Karel today on charges of tax evasion.,"police,today,charge,tax,evasion",,arrest,Elian Karel,,,today,Kronos,,0.0,0.0,1
836.txt,International News,,Activist Leader Karel Arrested for Tax Evasion,20090312,"ABILA, Kronos",Kronos police arrested Elian Karel today on charges of tax evasion.,"police,today,charge,tax,evasion",,arrest,Elian Karel,,,today,Kronos,,0.0,0.0,1
398.txt,The Abila Post,,POK LEADER ARRESTE,20090312,"ABILA, Kronos","Elian Karel, the charismatic leader of the Protectors of Kronos, was arrested today on charges of tax evasion.","leader,today,charge,tax,evasion",charismatic,arrest,Elian Karel,the Protectors of Kronos,,today,,,0.5,1.0,1
836.txt,International News,,Activist Leader Karel Arrested for Tax Evasion,20090312,"ABILA, Kronos","It is clear that Elian Karel, who professes to have the interests of the people of Kronos at heart, must explain to us why he refuses to contribute to the welfare of his nation.","interest,people,heart,welfare,nation",clear,"profess,have,explain,refuse,contribute",Elian Karel,,,,Kronos,,0.10000000000000002,0.3833333333333333,1
667.txt,The Explainer,,ARRESTED LEADER OF PO,20090313,"ABILA, Kronos","Elian Karel, the charismatic leader of the protectors of Kronos, was arrested today in loads of fiscal evasion.","leader,protector,today,load,evasion","charismatic,fiscal",arrest,Elian Karel,Kronos,,today,,,0.5,1.0,1
229.txt,The Guide,,Karel leader of the activist arrested for the fiscal evasio,20090313,"ABILA, Kronos","It is clear that Elian Karel, that professes to have the interests of the people of Kronos in the heart, must explain us because he rejects to contribute to the well-being of his nation.","interest,people,heart,well,nation",clear,"profess,have,explain,reject,contribute",Elian Karel,Kronos,,,,,0.10000000000000002,0.3833333333333333,1
157.txt,Daily Pegasus,,ARRESTED LEADER KAREL OF PO,20090313,"ABILA, Kronos","In another unconscionable movement against the citizens of Kronos, the previous police of today arrested leader Elian Karel of POK in false loads of the fiscal evasion.","movement,citizen,police,today,leader,load,evasion","unconscionable,previous,false,fiscal",arrest,Elian Karel,POK,,today,Kronos,,-0.2833333333333334,0.3833333333333333,1
577.txt,News Online Today,,POK LEADER KAREL ARRESTED,20090313,"ABILA, Krono","In another unconscionable move against the citizens of Kronos, earlier today police arrested POK leader Elian Karel on spurious tax evasion charges.","move,citizen,today,police,leader,tax,evasion,charge","unconscionable,spurious",arrest,Elian Karel,POK,,,Kronos,,0.0,0.5,1
815.txt,Worldwise,,The Karel Chief of activist stopped for tax avoidanc,20090313,"ABILA, Kronos",The police force of Kronos stopped Elian Karel today on expenses of tax avoidance.,"police,force,today,expense,tax,avoidance",,stop,Elian Karel,Kronos,,today,,,0.0,0.0,1
788.txt,The Wrap,,POK THE LEADER ARRESTED KARE,20090313,"ABILA, Kronos","In another unconscionable movement against the former citizens of Kronos, check POK today arrested LEADER Elian Karel on unauthentic tax evasion charges.","movement,citizen,check,today,leader,tax,evasion,charge","unconscionable,former,unauthentic",arrest,Elian Karel,Kronos,,today,,,0.0,0.0,1
815.txt,Worldwise,,The Karel Chief of activist stopped for tax avoidanc,20090313,"ABILA, Kronos","It is clear that Elian Karel, which professes to have the interests of the people of Kronos in the middle, must explain to us why it refuses to contribute to the wellbeing of its nation.","interest,people,middle,wellbeing,nation",clear,"profess,have,explain,refuse,contribute",Elian Karel,Kronos,,,,,0.05000000000000001,0.19166666666666665,1
798.txt,Central Bulletin,,POK LEADER ARRESTED,20090313,"ABILA, Kronos","Elian Karel, the charismatic leader of the Protectors of Kronos, was arrested today on charges of tax evasion.","leader,today,charge,tax,evasion",charismatic,arrest,Elian Karel,the Protectors of Kronos,,today,,,0.5,1.0,1
505.txt,News Online Today,,POK LEADER ARRESTED,20090313,"ABILA, Kronos","Elian Karel, the charismatic leader of the Protectors of Kronos, was arrested today on charges of tax evasion.","leader,today,charge,tax,evasion",charismatic,arrest,Elian Karel,the Protectors of Kronos,,today,,,0.5,1.0,1
229.txt,The Guide,,Karel leader of the activist arrested for the fiscal evasio,20090313,"ABILA, Kronos",The police of Kronos arrested Elian Karel for fiscal evasion today.,"police,evasion,today",fiscal,arrest,Elian Karel,Kronos,,today,,,0.0,0.0,1
19.txt,News Desk,,ARRESTED LEADER PO,20090313,"ABILA, Kronos","Elian Karel, the charismatic LEADER of the guards of Kronos, was arrested today on charges of tax evaluation.","leader,guard,today,charge,tax,evaluation",charismatic,arrest,Elian Karel,Kronos,,today,,,0.5,1.0,1
455.txt,The Orb,,CHIEF KAREL OF POK STOPPED,20090314,"ABILA, Kronos","In another unjust movement against the citizens of Kronos, a police force earlier of today stopped the Chief of POK Elian Karel on incidental expense of tax avoidance.","movement,citizen,police,force,today,expense,tax,avoidance","unjust,incidental",stop,Elian Karel,POK,,earlier of today,Kronos,,0.0,0.5,1
561.txt,The Truth,,The LEADER Karel Arrested of the activist for tax evasio,20090314,"ABILA, Kronos",The police force Kronos arrested today Elian Karel on charges of tax evasion.,"police,force,today,charge,tax,evasion",,arrest,Elian Karel,Kronos,,today,,,0.0,0.0,1
810.txt,The Tulip,,GASTECH APPROVE NEW EMBLE,20090516,"CENTRUM, Tethys","With large fanfare international President and CEO Sten Sanjorge Jr. of GAStech, revealed the new emblem of the company, a part of the rebranding process of the company.","fanfare,emblem,company,part,rebranding,process,company","large,international,new",reveal,Sten Sanjorge Jr.,GAStech,,,,,0.11688311688311688,0.29437229437229434,1
826.txt,The General Post,,GASTECH ADOPTS NEW STANDAR,20090517,"CENTRUM, Tethys","International president and CEO Sten Sanjorge Jr., with great fanfare, revealed the new standard of the company, leaves from the process rebranding of the company.","president,fanfare,standard,company,leave,process,rebranding,company","international,great,new",reveal,Sten Sanjorge Jr.,,,,,,0.2340909090909091,0.30113636363636365,1
560.txt,The Light of Truth,,GASTECH ADOPTS NEW LOG,20090517,"CENTRUM, Tethys","With international president and CEO Sten Sanjorge Jr. of GAStech and a large brass band, the new logo of the company indicated, part of the process rebranding of the company. 

During the press conference, Sten Sanjorge Jr. said the new logo - a non luminous flame of tripartite which is reminiscent of a sheet ""to help the GAStech position and its products like clean fuel alternative.""","president,brass,band,logo,company,part,process,rebranding,company,press,conference,logo,flame,tripartite,sheet,position,product,fuel,alternative","international,large,new,new,non,luminous,reminiscent,clean","indicate,say,be,help","Sten Sanjorge Jr.,Sten Sanjorge Jr.","GAStech,GAStech",,,,,0.14227994227994228,0.42294372294372296,2
73.txt,Homeland Illumination,Petrus Gerhar,ELIAN KAREL DEAD IN KRONOS JAI,20090619,"ABILA, Krono","He was only a few years older than Juliana Vann, a friend who died in 1998 of toxin poisoning caused by illegal dumping from the Tethyn company GAStech.","year,friend,toxin,poisoning,dumping,company","few,old,illegal","die,cause",Juliana Vann,"Tethyn,GAStech",,1998,,,-0.13333333333333333,0.4833333333333333,1
73.txt,Homeland Illumination,Petrus Gerhar,ELIAN KAREL DEAD IN KRONOS JAI,20090619,"ABILA, Krono","Elian Karel, age 28, died Friday while unlawfully incarcerated at the Abila City Prison.",age,,"die,incarcerate",Elian Karel,,,"age 28,Friday",,,0.0,0.0,1
445.txt,The Wrap,,ELIAN KAREL DEAD IN PRISON KRONO,20090620,"ABILA, Kronos","Elian Karel, age 28, died Friday whereas illegitimate incarcerated at the prison of the city Abila.","age,prison,city",illegitimate,"die,incarcerate",Elian Karel,,,"age 28,Friday",Abila,,0.0,0.0,1
185.txt,The Abila Post,,SPONTANEOUS PROTESTS ERUPT AROUND ABIL,20090620,"ABILA, Kronos","Protests erupted around the Kronos government buildings, downtown, and elsewhere around Abila eventually escalating into riots and violence. 

The activists are protesting the death yesterday of Elian Karel, a Protector of Kronos (POK) activist who died in jail after being arrested for tax evasion.","protest,government,building,downtown,riot,violence,activist,death,yesterday,activist,jail,tax,evasion",,"erupt,escalate,die,arrest",Elian Karel,"Kronos,POK",,yesterday,Abila,,-0.1,0.0,1
185.txt,The Abila Post,,SPONTANEOUS PROTESTS ERUPT AROUND ABIL,20090620,"ABILA, Kronos","A unifying theme of the protesters was the chanted slogans including ""Justice for Elian"" in reference to previously mentioned activist Elian Karel and ""Remember Juliana"", a young girl from Elodis who died in 1998 allegedly from the effects of water contamination.","theme,protester,slogan,justice,reference,activist,girl,effect,water,contamination","unifying,young","chant,include,mention,remember,die","Elian,Elian Karel,Juliana",,,1998,Elodis,,-0.05555555555555555,0.2222222222222222,3
554.txt,All News Today,,ELIAN KAREL DEAD IN KRONOS JAIL,20090620,"ABILA, Kronos","He was only a few years older than Juliana Vann, a friend who died in 1998 of toxin poisoning caused by illegal dumping from the Tethyn company GAStech.","year,friend,toxin,poisoning,dumping,company","few,old,illegal","die,cause",Juliana Vann,"Tethyn,GAStech",,1998,,,-0.13333333333333333,0.4833333333333333,1
623.txt,Kronos Star,Marcella Trapan,Protest Turns Violent in Abil,20090620,"ABILA, Krono","A rally of hundreds of protestors allied with the ""Protectors of Kronos"" movement turned to violence today as angry activists vented their displeasure on the innocent citizens of Abila after hearing the news of POK leader Elian Karel's death.","rally,hundred,protestor,movement,violence,today,activist,displeasure,citizen,news,leader,death","angry,innocent","ally,turn,vent",Elian Karel,POK,,today,Abila,,0.0,0.85,1
445.txt,The Wrap,,ELIAN KAREL DEAD IN PRISON KRONO,20090620,"ABILA, Kronos","He was only one couple year parent then Juliana Vann, a friend who died in 1998, of toxin poisoning which is caused by illegitimate of the Tethyn company GAStech to dump.","couple,year,parent,friend,toxin,poisoning,company",illegitimate,"die,cause,dump",Juliana Vann,"Tethyn,GAStech",,"only one couple year,1998",,,0.0,1.0,1
554.txt,All News Today,,ELIAN KAREL DEAD IN KRONOS JAIL,20090620,"ABILA, Kronos","Elian Karel, age 28, died Friday while unlawfully incarcerated at the Abila City Prison.",age,,"die,incarcerate",Elian Karel,,,"age 28,Friday",,,0.0,0.0,1
95.txt,News Online Today,,ELIAN KAREL DEAD IN KRONOS JAIL,20090620,"ABILA, Kronos","Elian Karel, age 28, died Friday while unlawfully incarcerated at the Abila City Prison.",age,,"die,incarcerate",Elian Karel,,,"age 28,Friday",,,0.0,0.0,1
801.txt,News Desk,,THE SPONTANEOUS PROTESTS BURST ROUND ABILA SEPARATEL,20090621,"ABILA, Kronos","An uniting topic of protesters was chanted slogans including justice for Elian in reference to activist Elian Karel earlier mentioned and reminds Juliana, a young little girl of Elodis who died according to reports in 1998, to the impact of water pollution.","topic,protester,slogan,including,justice,reference,activist,girl,report,impact,water,pollution","young,little","unite,chant,mention,remind,die,accord","Elian,Elian Karel,Juliana,Elodis",,,1998,,,-0.029166666666666664,0.4666666666666666,4
801.txt,News Desk,,THE SPONTANEOUS PROTESTS BURST ROUND ABILA SEPARATEL,20090621,"ABILA, Kronos","The activists protest death yesterday of Elian Karel, a guard of the activist Kronos (of POK) that in prison after is arrested for tax evasion died.","activist,death,yesterday,guard,activist,prison,tax,evasion",,"protest,arrest,die",Elian Karel,"Kronos,POK",,yesterday,,,0.0,0.0,1
269.txt,Daily Pegasus,,ELIAN KAREL DIED IN KRONOS JAI,20090621,"ABILA, Kronos","Elian Karel, age 28, died Friday whereas incarcerated illegally in the prison of the city of Abila.","age,prison,city",,"die,incarcerate",Elian Karel,,,"age 28,Friday",Abila,,-0.5,0.5,1
745.txt,Central Bulletin,,SPONTANEOUS PROTESTS ERUPT AROUND ABILA,20090621,"ABILA, Kronos","Protests erupted around the Kronos government buildings, downtown, and elsewhere around Abila eventually escalating into riots and violence.  

The activists are protesting the death yesterday of Elian Karel, a Protector of Kronos (POK) activist who died in jail after being arrested for tax evasion.","protest,government,building,downtown,riot,violence,activist,death,yesterday,activist,jail,tax,evasion",,"erupt,escalate,die,arrest",Elian Karel,"Kronos,POK",,yesterday,Abila,,-0.1,0.0,1
745.txt,Central Bulletin,,SPONTANEOUS PROTESTS ERUPT AROUND ABILA,20090621,"ABILA, Kronos","A unifying theme of the protesters was the chanted slogans including ""Justice for Elian"" in reference to previously mentioned activist Elian Karel and ""Remember Juliana"", a young girl from Elodis who died in 1998 allegedly from the effects of water contamination.","theme,protester,slogan,justice,reference,activist,girl,effect,water,contamination","unifying,young","chant,include,mention,remember,die","Elian,Elian Karel,Juliana",,,1998,Elodis,,-0.05555555555555555,0.2222222222222222,3
